Time,WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
7,25,102,0,14873,24,8.9769,24.59016393,0.56015856
8,25,103,1,14873,24,8.6917,25.40983607,0.54236208
9,25,105,2,15288,24,8.252,27.04918033,0.5149248
10,25,106,1,15288,24,7.6696,27.86885246,0.47858304
11,25,107,1,15288,24,7.0872,28.68852459,0.44224128
12,25,108,1,15288,24,7.0214,29.50819672,0.43813536
13,25,109,1,15604,24,7.4323,30.32786885,0.46377552
14,25,111,2,15604,23,7.8431,31.96721311,0.48940944
15,25,112,1,15604,23,7.7755,32.78688525,0.4851912
16,25,112,0,17094,23,7.5568,32.78688525,0.47154432
17,25,111,-1,17094,23,7.3381,31.96721311,0.45789744
18,25,111,0,17094,22,7.1195,31.96721311,0.4442568
19,25,110,-1,17094,22,7.101,31.14754098,0.4431024
20,25,108,-2,17387,22,7.508,29.50819672,0.4684992
21,25,107,-1,17387,22,7.915,28.68852459,0.493896
22,25,104,-3,17387,22,7.9341,26.2295082,0.49508784
23,25,102,-2,16685,21,7.8681,24.59016393,0.49096944
24,25,100,-2,16685,21,7.8425,22.95081967,0.489372
25,25,99,-1,15840,20,8.1804,22.13114754,0.51045696
26,25,97,-2,15840,20,8.5183,20.49180328,0.53154192
27,25,97,0,15840,20,8.759,20.49180328,0.5465616
28,25,96,-1,15288,20,8.5573,19.67213115,0.53397552
29,25,96,0,15288,20,8.3555,19.67213115,0.5213832
30,25,97,1,15288,20,8.3255,20.49180328,0.5195112
31,100,98,1,15224,20,8.5756,21.31147541,0.53511744
32,100,99,1,15224,19,8.8258,22.13114754,0.55072992
33,100,100,1,15224,19,9.1225,22.95081967,0.569244
34,100,100,0,14799,19,9.5182,22.95081967,0.59393568
35,100,101,1,14799,19,9.9139,23.7704918,0.61862736
36,100,101,0,14799,19,9.615,23.7704918,0.599976
37,100,101,0,14741,19,8.0813,23.7704918,0.50427312
38,100,102,1,14741,20,6.8411,24.59016393,0.42688464
39,100,102,0,16363,20,8.2417,24.59016393,0.51428208
40,100,103,1,16363,21,9.6423,25.40983607,0.60167952
41,100,104,1,16363,22,10.817,26.2295082,0.6749808
42,100,105,1,16915,22,11.088,27.04918033,0.6918912
43,100,106,1,16915,22,11.359,27.86885246,0.7088016
44,100,108,2,16915,21,11.63,29.50819672,0.725712
45,100,110,2,17186,21,11.31,31.14754098,0.705744
46,100,110,0,17186,21,10.923,31.14754098,0.6815952
47,100,111,1,17186,21,10.676,31.96721311,0.6661824
48,100,112,1,18031,21,10.824,32.78688525,0.6754176
49,100,112,0,18031,21,10.973,32.78688525,0.6847152
50,100,112,0,18031,21,11.074,32.78688525,0.6910176
51,100,112,0,18077,21,10.754,32.78688525,0.6710496
52,100,113,1,18077,21,10.434,33.60655738,0.6510816
53,100,113,0,18077,21,10.258,33.60655738,0.6400992
54,100,114,1,18077,20,11.74,34.42622951,0.732576
55,100,114,0,21362,20,13.221,34.42622951,0.8249904
56,100,113,-1,21362,20,14.703,33.60655738,0.9174672
57,100,114,1,21362,21,16.184,34.42622951,1.0098816
58,100,114,0,21362,21,15.504,34.42622951,0.9674496
59,100,114,0,20729,20,14.141,34.42622951,0.8823984
60,100,115,1,20729,20,12.778,35.24590164,0.7973472
61,25,115,0,20430,19,12.751,35.24590164,0.7956624
62,25,115,0,20430,19,12.809,35.24590164,0.7992816
63,25,115,0,20430,19,12.688,35.24590164,0.7917312
64,25,116,1,20608,19,12.298,36.06557377,0.7673952
65,25,116,0,20608,19,11.908,36.06557377,0.7430592
66,25,116,0,20608,19,13.024,36.06557377,0.8126976
67,25,116,0,22386,19,14.384,36.06557377,0.8975616
68,25,116,0,22386,19,15.745,36.06557377,0.982488
69,25,116,0,22386,19,17.106,36.06557377,1.0674144
70,25,116,0,21920,19,16.216,36.06557377,1.0118784
71,25,116,0,21920,19,15.183,36.06557377,0.9474192
72,25,116,0,21920,19,14.751,36.06557377,0.9204624
73,25,115,-1,22472,19,14.753,35.24590164,0.9205872
74,25,115,0,22472,19,14.756,35.24590164,0.9207744
75,25,115,0,22472,19,14.793,35.24590164,0.9230832
76,25,115,0,20873,19,14.861,35.24590164,0.9273264
77,25,115,0,20873,19,14.93,35.24590164,0.931632
78,25,115,0,20873,20,15.4,35.24590164,0.96096
79,25,115,0,22196,20,16.65,35.24590164,1.03896
80,25,115,0,22196,20,17.899,35.24590164,1.1168976
81,25,115,0,22196,21,17.77,35.24590164,1.108848
82,25,115,0,22794,21,17.338,35.24590164,1.0818912
83,25,115,0,22794,21,16.906,35.24590164,1.0549344
84,25,115,0,22794,21,16.105,35.24590164,1.004952
85,25,115,0,22489,20,15.223,35.24590164,0.9499152
86,25,115,0,22489,20,14.341,35.24590164,0.8948784
87,25,114,-1,21494,20,15.75,34.42622951,0.9828
88,25,114,0,21494,21,17.412,34.42622951,1.0865088
89,25,114,0,21494,21,17.966,34.42622951,1.1210784
90,25,114,0,22771,21,17.496,34.42622951,1.0917504
91,100,114,0,22771,21,17.027,34.42622951,1.0624848
92,100,114,0,22771,21,17.179,34.42622951,1.0719696
93,100,114,0,23501,21,17.821,34.42622951,1.1120304
94,100,114,0,24105,22,18.589,34.42622951,1.1599536
95,100,113,-1,24105,22,19.467,33.60655738,1.2147408
