Time,WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
8,25,91,4,17314,19,10.27725482418376,25.38461538,0.6947424263760684
9,25,94,3,19199,18,10.041141428777777,27.69230769,0.6787811607777778
10,25,98,4,19199,18,9.805028033371794,30.76923077,0.6628198951794873
11,25,99,1,19199,17,9.568914637965811,31.53846154,0.6468586295811967
12,25,101,2,19199,17,9.332801242559828,33.07692308,0.6308973639829061
13,25,102,1,21029,17,9.084240415310346,33.84615385,0.614094652
14,25,102,0,21029,18,8.81355082033908,33.84615385,0.5957960353333334
15,25,102,0,21029,18,8.542861225367815,33.84615385,0.5774974186666666
16,25,101,-1,21029,18,8.272171630396551,33.07692308,0.5591988019999999
17,25,101,0,21029,18,8.645377992133332,33.07692308,0.584427552
18,25,99,-2,21923,18,9.106388347966666,31.53846154,0.6155918519999999
19,25,98,-1,21923,18,9.5673987038,30.76923077,0.6467561519999999
20,25,97,-1,21923,18,9.822358136256097,30.0,0.6639914096341463
21,25,97,0,22860,18,9.547472337170731,30.0,0.6454091297560975
22,25,96,-1,22860,18,9.272586538085365,29.23076923,0.6268268498780487
23,25,96,0,22860,18,8.997700738999999,29.23076923,0.60824457
24,25,96,0,23491,18,8.997700738999999,29.23076923,0.60824457
25,25,97,1,23491,18,8.997700738999999,30.0,0.60824457
26,25,97,0,23491,18,8.997700738999999,30.0,0.60824457
27,25,97,0,23491,17,9.037551586337015,30.0,0.6109384872596685
28,25,98,1,22425,17,9.286619382193368,30.76923077,0.6277754701325966
29,25,98,0,22425,16,9.535687178049724,30.76923077,0.6446124530055248
30,25,98,0,22425,16,9.784754973906077,30.76923077,0.661449435878453
31,205,99,1,21836,16,9.97528613804878,31.53846154,0.6743293426829268
32,205,99,0,21836,16,10.11595276406504,31.53846154,0.6838384069105691
33,205,99,0,20369,16,10.253887387916667,31.53846154,0.69316278775
34,205,99,0,20369,17,10.360403986875,31.53846154,0.7003633096249999
35,205,100,1,20958,17,10.689144699122803,32.30769231,0.7225861816140348
36,205,101,1,20958,18,12.18456200614035,33.07692308,0.8236763917017543
37,205,102,1,22099,19,13.679979313157899,33.84615385,0.9247666017894739
38,205,104,2,22099,20,13.868241870373833,35.38461538,0.9374931508130842
39,205,106,2,22099,21,13.878256052616823,36.92307692,0.9381701096915889
40,205,108,2,23014,21,13.981478836330936,38.46153846,0.9451479698129497
41,205,111,3,23014,22,14.117450588129497,40.76923077,0.9543396601007195
42,205,113,2,23014,22,14.253422339928058,42.30769231,0.9635313503884892
43,205,115,2,23194,22,14.432883401304348,43.84615385,0.975662918173913
44,205,117,2,23194,22,14.614156517246377,45.38461538,0.9879169808550725
45,205,119,2,23194,22,14.935875583006137,46.92307692,1.0096651897116566
46,205,121,2,25609,22,15.81937844803681,48.46153846,1.0693899832699387
47,205,123,2,25609,23,16.702881313067483,50.0,1.1291147768282208
48,205,126,3,26976,24,17.586384178098157,52.30769231,1.188839570386503
49,205,127,1,26976,24,17.845629929238097,53.07692308,1.2063645834
50,205,129,2,27574,25,18.06502948161905,54.61538462,1.2211959934
51,205,130,1,27574,25,18.294582032941175,55.38461538,1.2367137458235296
52,205,131,1,27574,25,18.526068488823526,56.15384615,1.2523622301372548
53,205,133,2,27619,24,18.602273759797978,57.69230769,1.2575137063939392
54,205,134,1,27619,24,18.639658734545456,58.46153846,1.2600409306363636
55,205,134,0,28205,24,18.64638803,58.46153846,1.2604958309999998
56,205,135,1,28205,24,18.64638803,59.23076923,1.2604958309999998
57,205,136,1,28618,25,18.64638803,60.0,1.2604958309999998
58,205,136,0,28618,25,18.64638803,60.0,1.2604958309999998
59,205,136,0,28288,25,18.74509053017544,60.0,1.2671681199122806
60,205,137,1,28288,25,18.969414394210524,60.76923077,1.2823324128947367
61,25,137,0,28898,26,19.198801763225806,60.76923077,1.2978389988709678
62,25,138,1,28898,26,19.454772533387096,61.53846154,1.315142623064516
63,25,138,0,28898,27,19.710743303548384,61.53846154,1.3324462472580645
64,25,139,1,30390,27,19.79265395,62.30769231,1.337983407
65,25,139,0,30390,27,19.79265395,62.30769231,1.337983407
66,25,139,0,30390,27,19.878147084400002,62.30769231,1.3437627428800003
67,25,139,0,34256,27,20.35310894217778,62.30769231,1.3758701644355558
68,25,138,-1,34256,26,20.828070799955558,61.53846154,1.4079775859911114
69,25,138,0,34256,26,21.303032657733336,61.53846154,1.440085007546667
70,25,136,-2,34256,25,21.777994515511114,60.0,1.4721924291022224
71,25,135,-1,31970,25,21.92998231,59.23076923,1.482466804
72,25,134,-1,31970,24,21.92998231,58.46153846,1.482466804
73,25,133,-1,31970,23,21.994235996184212,57.69230769,1.4868103532105263
74,25,132,-1,32496,22,22.315504427105264,56.92307692,1.5085280992631578
75,25,132,0,32496,22,22.636772858026315,56.92307692,1.5302458453157894
76,25,132,0,32496,22,22.90663834,56.92307692,1.548488752
77,25,131,-1,33320,21,22.90663834,56.15384615,1.548488752
78,25,131,0,33320,21,22.90663834,56.15384615,1.548488752
79,25,130,-1,33320,21,22.90663834,55.38461538,1.548488752
80,25,129,-1,33859,20,22.998272571735537,54.61538462,1.5546832260495869
81,25,128,-1,33859,20,23.133028794876033,53.84615385,1.5637927467107438
82,25,127,-1,33888,20,23.193494411296296,53.07692308,1.5678802223703703
83,25,126,-1,33888,20,23.042517531666668,52.30769231,1.5576741853333333
84,25,125,-1,33888,20,22.89776105791045,51.53846154,1.547888647708955
85,25,125,0,34498,20,22.808988237014926,51.53846154,1.5418876047985075
86,25,125,0,34498,20,22.720215416119405,51.53846154,1.5358865618880597
87,25,124,-1,34498,20,22.64683393874172,50.76923077,1.5309259739337748
88,25,124,0,31853,20,22.59470717384106,50.76923077,1.5274022047284768
89,25,123,-1,31853,20,22.542580408940395,50.0,1.523878435523179
90,25,122,-1,33926,20,22.537111371311475,49.23076923,1.523508728590164
91,205,121,-1,33926,21,22.601628924590166,48.46153846,1.5278701150655738
92,205,121,0,33926,21,22.666146477868853,48.46153846,1.5322315015409835
93,205,120,-1,33357,22,22.66872718,47.69230769,1.532405957
94,205,120,0,33357,22,22.66872718,47.69230769,1.532405957
