Time,WR,HR,VE,BF,VO2rel,HRR,VO2,Unnamed: 8,Unnamed: 9,Unnamed: 10
7.0,25.0,86.0,19155.245,21.0,7.544516381676924,19.04761905,0.6563729254307692,,,
8.0,25.0,86.0,19155.245,21.0,7.727419740715384,19.04761905,0.6722855175461538,,,
9.0,25.0,87.0,19155.245,21.0,7.905619870521429,20.0,0.6877889287214285,,,
10.0,25.0,88.0,20323.23,22.0,8.075458703914286,20.95238095,0.7025649071142857,,,
11.0,25.0,89.0,20323.23,22.0,8.245297537307144,21.904761899999997,0.7173408855071428,,,
12.0,25.0,89.0,20323.23,22.0,8.367630427811024,21.904761899999997,0.7279838469291339,,,
13.0,25.0,90.0,22040.4,22.0,8.45263722033071,22.85714286,0.7353794378740157,,,
14.0,25.0,90.0,22040.4,23.0,8.535943877000001,22.85714286,0.7426271170000001,,,
15.0,25.0,90.0,21854.76,23.0,8.535943877000001,22.85714286,0.7426271170000001,,,
16.0,25.0,90.0,21854.76,23.0,8.535943877000001,22.85714286,0.7426271170000001,,,
17.0,25.0,90.0,21854.76,23.0,8.77823443306977,22.85714286,0.7637063954186047,,,
18.0,25.0,90.0,20957.5,23.0,9.355116709426358,22.85714286,0.8138951535581396,,,
19.0,25.0,89.0,20957.5,23.0,9.931998985782947,21.904761899999997,0.8640839116976744,,,
20.0,25.0,89.0,20957.5,23.0,9.568015745138686,21.904761899999997,0.8324173697007299,,,
21.0,25.0,88.0,21591.77,23.0,9.024820025065694,20.95238095,0.7851593419635037,,,
22.0,25.0,88.0,21591.77,23.0,8.570770178038464,20.95238095,0.7456570051923078,,,
23.0,25.0,88.0,22086.81,23.0,8.919033188423079,20.95238095,0.7759558871153847,,,
24.0,25.0,87.0,22086.81,23.0,9.267296198807694,20.0,0.8062547690384615,,,
25.0,25.0,87.0,22086.81,23.0,9.080956167405798,20.0,0.7900431864492754,,,
26.0,25.0,87.0,21986.255,22.0,8.360013094217393,20.0,0.727321139347826,,,
27.0,25.0,87.0,21986.255,22.0,7.639070021028987,20.0,0.6645990922463769,,,
28.0,25.0,86.0,21986.255,22.0,8.022343478077518,19.04761905,0.697943882868217,,,
29.0,25.0,87.0,22318.86,23.0,8.793584905209302,20.0,0.765041886744186,,,
30.0,25.0,87.0,22318.86,23.0,9.366570148580154,20.0,0.8148916026717556,,,
31.0,25.0,87.0,21452.54,22.0,8.898710427206108,20.0,0.774187806870229,,,
32.0,25.0,87.0,21452.54,22.0,8.430850705832063,20.0,0.7334840110687023,,,
33.0,25.0,88.0,21452.54,22.0,8.225783199336,20.95238095,0.715643138,,,
34.0,25.0,88.0,21908.905,22.0,8.244575727736,20.95238095,0.717278088,,,
35.0,25.0,88.0,21908.905,22.0,8.262021854734176,20.95238095,0.7187959010759494,,,
36.0,25.0,88.0,21908.905,22.0,8.247154348088607,20.95238095,0.7175024279746836,,,
37.0,25.0,88.0,21808.35,22.0,8.232286841443038,20.95238095,0.7162089548734177,,,
38.0,25.0,87.0,21808.35,22.0,8.21741933479747,20.0,0.7149154817721519,,,
39.0,25.0,87.0,21808.35,22.0,8.215635234,20.0,0.714760265,,,
40.0,25.0,87.0,20532.075,22.0,8.215635234,20.0,0.714760265,,,
41.0,25.0,87.0,20532.075,22.0,8.215635234,20.0,0.714760265,,,
42.0,25.0,86.0,20532.075,22.0,8.215635234,19.04761905,0.714760265,,,
43.0,25.0,86.0,19874.6,21.0,8.215635234,19.04761905,0.714760265,,,
44.0,25.0,85.0,19874.6,21.0,8.19996885064762,18.095238100000003,0.7133972896476191,,,
45.0,25.0,85.0,20176.265,21.0,8.004139058742858,18.095238100000003,0.6963600977428572,,,
46.0,25.0,85.0,20176.265,22.0,7.808309266838096,18.095238100000003,0.6793229058380954,,,
47.0,25.0,85.0,20176.265,22.0,7.8043926710000004,18.095238100000003,0.6789821620000001,,,
48.0,25.0,85.0,19557.465,22.0,7.8043926710000004,18.095238100000003,0.6789821620000001,,,
49.0,25.0,86.0,19557.465,22.0,7.819253061906078,19.04761905,0.6802750160110498,,,
50.0,25.0,86.0,19557.465,22.0,8.066926243674034,19.04761905,0.7018225828618785,,,
51.0,25.0,87.0,19309.945,22.0,8.314599425441989,20.0,0.7233701497127072,,,
52.0,25.0,87.0,19309.945,21.0,8.562272607209945,20.0,0.744917716563536,,,
53.0,25.0,87.0,19309.945,21.0,8.844279263844827,20.0,0.7694522958448275,,,
54.0,25.0,87.0,18884.52,21.0,9.169983070310343,20.0,0.7977885273103448,,,
55.0,25.0,87.0,18884.52,21.0,9.45660242,20.0,0.8227244109999999,,,
56.0,25.0,87.0,19209.39,21.0,9.45660242,20.0,0.8227244109999999,,,
57.0,25.0,87.0,19209.39,22.0,9.45660242,20.0,0.8227244109999999,,,
58.0,25.0,87.0,19209.39,22.0,9.45660242,20.0,0.8227244109999999,,,
59.0,25.0,87.0,19433.705,22.0,9.45660242,20.0,0.8227244109999999,,,
60.0,25.0,87.0,19433.705,22.0,9.45660242,20.0,0.8227244109999999,,,
61.0,25.0,87.0,19433.705,22.0,9.45660242,20.0,0.8227244109999999,,,
62.0,25.0,86.0,20037.035,22.0,9.45660242,19.04761905,0.8227244109999999,,,
63.0,25.0,86.0,20037.035,22.0,9.45660242,19.04761905,0.8227244109999999,,,
64.0,25.0,85.0,20037.035,22.0,9.386609341492537,18.095238100000003,0.8166350130895522,,,
65.0,25.0,85.0,19170.715,22.0,9.299117993358209,18.095238100000003,0.8090232657014925,,,
66.0,25.0,85.0,19170.715,21.0,9.222125607,18.095238100000003,0.802324928,,,
67.0,25.0,84.0,19170.715,21.0,9.222125607,17.14285714,0.802324928,,,
68.0,25.0,84.0,18961.87,21.0,9.222125607,17.14285714,0.802324928,,,
69.0,25.0,83.0,18961.87,21.0,9.18878404875,16.19047619,0.7994242124375,,,
70.0,25.0,82.0,19294.475,21.0,9.003553169583332,15.23809524,0.7833091259791667,,,
71.0,25.0,82.0,19294.475,21.0,8.818322290416667,15.23809524,0.7671940395208334,,,
72.0,25.0,82.0,19294.475,22.0,8.688660675,15.23809524,0.755913479,,,
73.0,25.0,81.0,19294.475,22.0,8.688660675,14.28571429,0.755913479,,,
74.0,25.0,80.0,19294.475,21.0,8.688660675,13.33333333,0.755913479,,,
75.0,25.0,80.0,19294.475,21.0,8.688660675,13.33333333,0.755913479,,,
76.0,25.0,79.0,19294.475,21.0,8.688660675,12.38095238,0.755913479,,,
77.0,25.0,79.0,18675.675,21.0,8.688660675,12.38095238,0.755913479,,,
78.0,25.0,79.0,18675.675,21.0,9.033671578112585,12.38095238,0.785929427675497,,,
79.0,25.0,78.0,18822.64,21.0,9.541040553278146,11.42857143,0.8300705286688743,,,
80.0,25.0,79.0,18822.64,21.0,10.048409528443708,12.38095238,0.8742116296622516,,,
81.0,25.0,79.0,18822.64,21.0,9.851831826240877,12.38095238,0.8571093695109491,,,
82.0,25.0,78.0,19511.055,21.0,9.29261492660584,11.42857143,0.8084574990729928,,,
83.0,25.0,79.0,19511.055,21.0,8.733398026970802,12.38095238,0.7598056286350365,,,
84.0,25.0,79.0,19511.055,21.0,8.398373426109375,12.38095238,0.730658488203125,,,
85.0,25.0,79.0,19348.62,21.0,8.08284380775,12.38095238,0.70320741125,,,
86.0,25.0,79.0,19348.62,21.0,8.152201086372413,12.38095238,0.7092414943586206,,,
87.0,25.0,80.0,19828.19,21.0,8.905801737406895,13.33333333,0.7748047509103446,,,
88.0,25.0,80.0,19828.19,21.0,9.659402388441375,13.33333333,0.8403680074620685,,,
89.0,25.0,81.0,19828.19,21.0,9.688413180421058,14.28571429,0.8428919463609026,,,
90.0,25.0,81.0,20021.565,22.0,8.866818485684215,14.28571429,0.7714132080150379,,,
91.0,25.0,81.0,20021.565,22.0,8.045223790947372,14.28571429,0.6999344696691732,,,
92.0,25.0,81.0,20021.565,22.0,7.8809048520000005,14.28571429,0.685638722,,,
93.0,25.0,81.0,20284.555,21.0,7.8809048520000005,14.28571429,0.685638722,,,
94.0,25.0,82.0,20284.555,21.0,7.914724824461989,15.23809524,0.6885810595906433,,,
95.0,25.0,82.0,20284.555,21.0,8.156296056333334,15.23809524,0.7095977566666666,,,
96.0,25.0,83.0,20284.555,22.0,8.39786728820468,16.19047619,0.73061445374269,,,
97.0,25.0,83.0,19456.91,21.0,8.639438520076023,16.19047619,0.7516311508187133,,,
98.0,25.0,83.0,19456.91,21.0,8.797277662800001,16.19047619,0.7653631562,,,
99.0,25.0,83.0,19456.91,21.0,8.922554326411111,16.19047619,0.7762622259222223,,,
100.0,25.0,83.0,19263.535,20.0,9.047830990022222,16.19047619,0.7871612956444445,,,
101.0,25.0,83.0,19263.535,20.0,9.158074454,16.19047619,0.7967524770000001,,,
102.0,25.0,83.0,18799.435,20.0,9.158074454,16.19047619,0.7967524770000001,,,
103.0,25.0,82.0,18799.435,20.0,9.158074454,15.23809524,0.7967524770000001,,,
104.0,25.0,82.0,18799.435,20.0,9.192121248826087,15.23809524,0.7997145482608696,,,
105.0,25.0,83.0,19828.19,20.0,9.286695678898552,16.19047619,0.8079425239855073,,,
106.0,25.0,83.0,19828.19,20.0,9.381270108971014,16.19047619,0.8161704997101449,,,
107.0,25.0,82.0,19828.19,20.0,9.419099881000001,15.23809524,0.81946169,,,
108.0,25.0,82.0,20021.565,20.0,9.419099881000001,15.23809524,0.81946169,,,
109.0,25.0,82.0,20021.565,20.0,9.419099881000001,15.23809524,0.81946169,,,
110.0,25.0,82.0,20021.565,20.0,9.545615262488722,15.23809524,0.8304685280902256,,,
111.0,25.0,82.0,19897.805,20.0,9.749672329406014,15.23809524,0.8482214927518796,,,
